AnimalID,Aggressive,At Vet,Barn,Behavior,Court/Investigation,Enroute,Foster,In Foster,In Kennel,In Surgery,Medical,Offsite,Partner,Rabies Risk,SCRP,Suffering,Target,Main Breed,BreedName,sex,fertility,MixColor,color,colorC,agenumber,ageperiod,age,ageC,MainBreedMix,MixBreed,animal,HaveName,outcome
A671945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,181,SHETLAND SHEEPDOG,0.0,1.0,1.0,Brown,3.0,1.0,year,365.0,1.0,317.0,1.0,1.0,1.0,2.0
A656520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,Cream Tabby,16.0,1.0,year,365.0,1.0,147.0,1.0,2.0,1.0,3.0
A686464,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,159,PIT BULL,0.0,1.0,1.0,Blue,6.0,2.0,years,730.0,2.0,279.0,1.0,1.0,1.0,0.0
A683430,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Blue Cream,45.0,3.0,weeks,21.0,0.0,147.0,1.0,2.0,0.0,1.0
A667013,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,127,LHASA APSO,0.0,1.0,0.0,Tan,4.0,2.0,years,730.0,2.0,225.0,1.0,1.0,0.0,1.0
A677334,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,52,CAIRN TERRIER,1.0,0.0,1.0,Black,0.0,1.0,month,30.0,0.0,92.0,1.0,1.0,1.0,1.0
A699218,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Blue Tabby,10.0,3.0,weeks,21.0,0.0,147.0,1.0,2.0,1.0,1.0
A701489,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,2.0,2.0,0.0,Brown Tabby,2.0,3.0,weeks,21.0,0.0,147.0,1.0,2.0,0.0,1.0
A671784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,10,AMERICAN PIT BULL TERRIER,1.0,1.0,1.0,Red,8.0,5.0,months,150.0,0.0,18.0,1.0,1.0,1.0,0.0
A677747,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,52,CAIRN TERRIER,1.0,1.0,0.0,White,1.0,1.0,year,365.0,1.0,92.0,0.0,1.0,0.0,0.0
A668402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,80,DOMESTIC SHORTHAIR,2.0,2.0,0.0,Black,0.0,2.0,years,730.0,2.0,147.0,1.0,2.0,0.0,1.0
A666320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,137,MINIATURE SCHNAUZER,1.0,1.0,0.0,Silver,31.0,2.0,years,730.0,2.0,244.0,1.0,1.0,0.0,0.0
A684601,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,159,PIT BULL,0.0,1.0,0.0,Brown,3.0,4.0,years,1460.0,4.0,279.0,1.0,1.0,1.0,0.0
A704702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,219,YORKSHIRE TERRIER,0.0,1.0,1.0,Black,0.0,2.0,years,730.0,2.0,381.0,1.0,1.0,1.0,2.0
A688584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,104,GREAT PYRENEES,0.0,1.0,1.0,White,1.0,1.0,year,365.0,1.0,189.0,1.0,1.0,1.0,2.0
A678825,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,1.0,1.0,Orange Tabby,5.0,3.0,months,90.0,0.0,147.0,1.0,2.0,1.0,0.0
A678050,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,0.0,0.0,0.0,Brown Tabby,2.0,3.0,weeks,21.0,0.0,147.0,1.0,2.0,0.0,1.0
A680028,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,159,PIT BULL,1.0,0.0,1.0,Brown,3.0,2.0,weeks,14.0,0.0,279.0,1.0,1.0,0.0,1.0
A679010,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,14,ANGORA,1.0,0.0,0.0,White,1.0,2.0,years,730.0,2.0,24.0,1.0,2.0,1.0,1.0
A684787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,95,FLAT COAT RETRIEVER,0.0,1.0,0.0,Black,0.0,1.0,year,365.0,1.0,171.0,1.0,1.0,1.0,2.0
A670658,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,168,QUEENSLAND HEELER,0.0,0.0,1.0,Black,0.0,2.0,months,60.0,0.0,294.0,1.0,1.0,1.0,1.0
A708812,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,1.0,0.0,White,1.0,1.0,year,365.0,1.0,147.0,1.0,2.0,1.0,1.0
A705262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,161,PLOTT HOUND,1.0,1.0,1.0,Brown Brindle,9.0,2.0,years,730.0,2.0,281.0,1.0,1.0,1.0,0.0
A665781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,98,GERMAN SHEPHERD,0.0,1.0,1.0,Brown,3.0,10.0,months,300.0,0.0,177.0,1.0,1.0,1.0,0.0
A676333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,98,GERMAN SHEPHERD,0.0,1.0,1.0,Black,0.0,2.0,months,60.0,0.0,177.0,1.0,1.0,1.0,2.0
A712750,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,80,DOMESTIC SHORTHAIR,1.0,0.0,0.0,Orange Tabby,5.0,1.0,month,30.0,0.0,147.0,1.0,2.0,1.0,1.0
A718832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,12,AMERICAN STAFFORDSHIRE TERRIER,1.0,1.0,1.0,Chocolate,13.0,6.0,months,180.0,0.0,21.0,1.0,1.0,1.0,0.0
